theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
6,10,180.0,225.0,314040.5199669348,-292.90656932521676,1.0,3.228528555609955e-13
6,11,180.0,247.5,240416.98527484568,-289.84429873660855,1.0,2.306155266751375e-12
6,12,180.0,270.0,225671.69559969654,-287.27690473205513,1.0,7.212008767965017e-13
6,13,180.0,292.5,277392.88476594666,-285.6748970077692,1.0,5.737632591262809e-13
6,14,180.0,315.0,372873.94847545045,-285.92339901842547,1.0,5.111466805374221e-13
6,15,180.0,337.5,463378.0602349279,-289.05517369272803,1.0,1.496580637194711e-13
7,0,210.0,0.0,428896.82555073587,-350.01774702262395,1.0,1.7630341631047486e-13
7,1,210.0,22.5,508573.7270447611,-355.86696284701094,1.0,1.3322676295501878e-14
7,2,210.0,45.0,501438.5507318994,-419.70889749568954,1.0,1.9095836023552692e-14
7,3,210.0,67.5,454711.10779050295,-294.6110873131491,1.0,7.815970093361102e-14
7,4,210.0,90.0,356758.4590497768,-290.95605304576844,1.0,6.274980535181385e-13
7,5,210.0,112.5,267449.7253611116,-413.2409881500004,1.0,9.561240688071848e-13
7,6,210.0,135.0,387860.250481792,-284.6520982127939,1.0,4.858335955759685e-13
7,7,210.0,157.5,244197.38699569003,-465.056,1.0,4.3298697960381105e-13
7,8,210.0,180.0,428880.0907363748,-350.0171099861412,1.0,1.7719159473017498e-13
7,9,210.0,202.5,509959.227008652,-355.89637348759953,1.0,1.2434497875801753e-14
7,10,210.0,225.0,505787.40337018215,-419.60735586966103,1.0,7.860379014346108e-14
7,11,210.0,247.5,455073.85096185433,-294.59543445819304,1.0,7.638334409421077e-14
7,12,210.0,270.0,356115.1299776271,-290.9954177528199,1.0,4.5208281562736374e-13
7,13,210.0,292.5,267707.2395465821,-413.1832964773738,1.0,9.254819133275305e-13
7,14,210.0,315.0,387877.34206378314,-284.6279347050061,1.0,4.933831121434196e-13
7,15,210.0,337.5,245478.72086109786,-464.95098811203644,1.0,4.072298054325074e-13
8,0,211.0,0.0,413441.5055347861,-349.9067548657531,1.0,3.0686564400639327e-13
8,1,211.0,22.5,484470.2030141592,-355.8472535540066,1.0,2.842170943040401e-14
8,2,211.0,45.0,595278.8993007137,-417.89984203993635,1.0,1.3322676295501878e-15
8,3,211.0,67.5,463751.0265388934,-294.71594444656085,1.0,6.927791673660977e-14
8,4,211.0,90.0,362753.2293232358,-291.0886289437818,1.0,6.3815619455454e-13
8,5,211.0,112.5,272487.09738305816,-412.67789520454187,1.0,1.2243539515566226e-12
8,6,211.0,135.0,388193.55355658894,-284.6416616157624,1.0,4.836131495267182e-13
8,7,211.0,157.5,354882.67103164794,-465.056,1.0,9.103828801926284e-14
8,8,211.0,180.0,413428.3241904701,-349.9062425314265,1.0,3.0730973321624333e-13
